id,user,uid,version,changeset,timestamp
175464262,sctrojan79,2601744,10,48634611,2017-05-12T20:24:10Z
175465892,sctrojan79,2601744,3,36990401,2016-02-04T05:39:15Z
175465902,sctrojan79,2601744,3,29863533,2015-03-30T22:06:30Z
175468232,sctrojan79,2601744,2,36990401,2016-02-04T05:38:37Z
175468262,sctrojan79,2601744,2,36990401,2016-02-04T05:38:57Z
175473974,sctrojan79,2601744,5,36731016,2016-01-22T00:16:04Z
175494283,Ballard OpenStreetMap,2814663,3,42329256,2016-09-21T17:09:24Z
175494292,ewedistrict,8609,3,15900551,2013-04-28T19:53:25Z
175494296,lukobe,137875,4,34931560,2015-10-28T17:28:07Z
175494298,lukobe,137875,4,34931560,2015-10-28T17:28:07Z
175494299,sctrojan79,2601744,4,36768227,2016-01-24T00:26:19Z
175494301,lukobe,137875,6,40327392,2016-06-27T18:27:16Z
175494305,ewedistrict,8609,4,15900551,2013-04-28T19:53:25Z
175494306,ewedistrict,8609,3,15900551,2013-04-28T19:53:25Z
175494308,ewedistrict,8609,3,15900551,2013-04-28T19:53:25Z
175827169,sctrojan79,2601744,4,39301651,2016-05-13T21:37:15Z
175907745,sctrojan79,2601744,3,29254894,2015-03-04T22:07:54Z
175951110,Omnific,1408522,7,40912499,2016-07-21T06:27:18Z
175951355,Paul McCombs,1778296,9,46587003,2017-03-05T03:51:19Z
175951517,sctrojan79,2601744,9,48378246,2017-05-03T22:53:20Z
175951561,chronomex,414057,2,15072583,2013-02-18T04:52:20Z
176019049,MikeN,135163,5,43433663,2016-11-06T01:55:02Z
176020074,sctrojan79,2601744,3,36990401,2016-02-04T05:39:11Z
176020075,sctrojan79,2601744,2,35740048,2015-12-04T05:34:30Z
176020435,sctrojan79,2601744,3,36731016,2016-01-22T00:15:48Z
176023072,sctrojan79,2601744,10,48434441,2017-05-05T18:40:00Z
176065424,sctrojan79,2601744,6,36731016,2016-01-22T00:12:17Z
176073233,sctrojan79,2601744,3,35740048,2015-12-04T05:34:37Z
176073865,sctrojan79,2601744,3,36990401,2016-02-04T05:38:54Z
176074220,Omnific,1408522,3,44073779,2016-12-01T01:27:58Z
176235318,sctrojan79,2601744,3,35740048,2015-12-04T05:34:37Z
176236543,sctrojan79,2601744,5,36990401,2016-02-04T05:39:06Z
176238012,sctrojan79,2601744,5,42551211,2016-09-30T19:51:45Z
176238025,sctrojan79,2601744,5,36731016,2016-01-22T00:15:37Z
176411158,bdp,53479,1,12757252,2012-08-17T01:43:02Z
176411159,sctrojan79,2601744,4,48576731,2017-05-10T23:30:10Z
176525716,Ballard OpenStreetMap,2814663,3,48135091,2017-04-25T17:56:30Z
176525718,Ballard OpenStreetMap,2814663,3,48135091,2017-04-25T17:56:29Z
176525726,Ballard OpenStreetMap,2814663,4,48135091,2017-04-25T17:56:30Z
176525729,sctrojan79,2601744,3,35740048,2015-12-04T05:34:36Z
176525733,Ballard OpenStreetMap,2814663,4,48135091,2017-04-25T17:56:29Z
176528770,sctrojan79,2601744,2,35740048,2015-12-04T05:34:30Z
176528773,sctrojan79,2601744,2,35740048,2015-12-04T05:34:36Z
176528775,sctrojan79,2601744,2,36990401,2016-02-04T05:38:47Z
176528776,sctrojan79,2601744,3,35740048,2015-12-04T05:34:30Z
177039729,sctrojan79,2601744,11,43067074,2016-10-21T19:25:44Z
177665306,lukobe,137875,5,30024978,2015-04-06T19:57:30Z
177678599,sctrojan79,2601744,4,29863533,2015-03-30T22:05:44Z
177678602,yurasi,3526564,3,40393565,2016-06-30T14:29:36Z
177678672,yurasi,3526564,2,40393565,2016-06-30T14:29:37Z
177678685,sctrojan79,2601744,2,29504462,2015-03-15T20:51:58Z
178412336,sctrojan79,2601744,10,36766652,2016-01-23T22:02:25Z
178560650,sctrojan79,2601744,7,36865766,2016-01-28T21:14:52Z
179062793,craigloftus,49031,2,14032741,2012-11-25T17:11:10Z
179062794,craigloftus,49031,3,14032741,2012-11-25T17:11:10Z
179065569,lukobe,137875,4,35738350,2015-12-04T00:35:31Z
179065570,sctrojan79,2601744,4,30001105,2015-04-05T20:44:36Z
179222046,lukobe,137875,7,41542272,2016-08-18T19:31:21Z
179222048,Geogast,51045,16,46827101,2017-03-14T00:15:42Z
179222049,sctrojan79,2601744,7,36766652,2016-01-23T22:02:30Z
179222050,sctrojan79,2601744,9,48378246,2017-05-03T22:53:20Z
179222051,dannykath,2226712,10,39935217,2016-06-10T17:01:21Z
179222052,sctrojan79,2601744,6,36766652,2016-01-23T22:00:52Z
179551718,sctrojan79,2601744,7,44503768,2016-12-19T00:16:39Z
179551719,SierraSoleil,1870349,4,48542950,2017-05-09T20:33:07Z
179552126,sctrojan79,2601744,7,44775970,2016-12-30T06:08:41Z
179552127,sctrojan79,2601744,2,30151705,2015-04-11T20:57:32Z
179552384,Ballard OpenStreetMap,2814663,8,47792659,2017-04-14T19:11:23Z
179552385,Ballard OpenStreetMap,2814663,9,47795610,2017-04-14T20:45:18Z
179553345,lukobe,137875,12,37884627,2016-03-16T22:17:55Z
179553346,sctrojan79,2601744,7,37049861,2016-02-06T21:39:24Z
179553349,sctrojan79,2601744,2,36731016,2016-01-22T00:12:52Z
180396764,Ballard OpenStreetMap,2814663,6,33590075,2015-08-26T08:27:58Z
182891397,thefinn93,99616,6,48542140,2017-05-09T20:07:46Z
183946087,the1unoriginal,942842,1,13343491,2012-10-03T07:17:46Z
183946089,the1unoriginal,942842,1,13343491,2012-10-03T07:17:46Z
183946091,Natfoot,567792,2,27282102,2014-12-06T03:19:15Z
183946096,lukobe,137875,3,31908558,2015-06-11T21:55:34Z
183946098,the1unoriginal,942842,1,13343491,2012-10-03T07:17:48Z
183946099,the1unoriginal,942842,1,13343491,2012-10-03T07:17:48Z
183946100,the1unoriginal,942842,1,13343491,2012-10-03T07:17:48Z
183946101,the1unoriginal,942842,2,13343491,2012-10-03T07:32:33Z
183946102,the1unoriginal,942842,1,13343491,2012-10-03T07:17:48Z
183946106,the1unoriginal,942842,1,13343491,2012-10-03T07:17:49Z
184237077,Ballard OpenStreetMap,2814663,3,32217585,2015-06-26T03:45:16Z
184253177,sctrojan79,2601744,6,48410657,2017-05-05T00:53:32Z
184253480,Omnific,1408522,6,44168705,2016-12-04T23:16:35Z
184253615,Omnific,1408522,3,44168705,2016-12-04T23:16:31Z
184253774,Omnific,1408522,4,44168705,2016-12-04T23:16:27Z
184253784,sctrojan79,2601744,3,48316805,2017-05-01T19:41:14Z
184525923,sctrojan79,2601744,5,29554059,2015-03-18T00:54:49Z
184525992,sctrojan79,2601744,3,29554033,2015-03-18T00:52:05Z
184526182,CupxVxCake,3443560,3,35892765,2015-12-11T20:34:55Z
184526352,Ballard OpenStreetMap,2814663,2,35712541,2015-12-02T19:03:12Z
184526371,Omnific,1408522,4,37093842,2016-02-09T04:32:29Z
184526409,Omnific,1408522,3,37115563,2016-02-10T01:41:49Z
184526636,lukobe,137875,5,47241299,2017-03-28T20:16:18Z
184526905,Omnific,1408522,4,37115563,2016-02-10T01:41:44Z
184540212,sctrojan79,2601744,4,34009462,2015-09-13T21:45:25Z
184540396,jeffmeyer,519645,5,13854999,2012-11-13T03:57:24Z
184540554,jeffmeyer,519645,3,13855027,2012-11-13T04:02:18Z
184540593,lukobe,137875,2,41276144,2016-08-05T21:22:47Z
184540870,jeffmeyer,519645,1,13393957,2012-10-07T07:12:59Z
184540871,jeffmeyer,519645,1,13393957,2012-10-07T07:12:59Z
184797695,Ballard OpenStreetMap,2814663,4,32940618,2015-07-28T19:27:53Z
184798620,Omnific,1408522,5,45381771,2017-01-23T00:21:14Z
184870422,Omnific,1408522,3,33574363,2015-08-25T15:27:56Z
184870423,Omnific,1408522,4,40467811,2016-07-03T22:54:12Z
184870424,lukobe,137875,4,39072748,2016-05-03T17:57:51Z
185030478,jeffmeyer,519645,1,13436203,2012-10-10T05:23:32Z
185030485,jeffmeyer,519645,2,13457535,2012-10-11T18:05:35Z
185030488,lukobe,137875,3,45957465,2017-02-09T20:58:40Z
185400434,sctrojan79,2601744,5,48459655,2017-05-06T19:14:54Z
185483728,Sundance,239998,1,13468310,2012-10-12T15:18:46Z
185483729,Sundance,239998,1,13468310,2012-10-12T15:18:46Z
185483730,Sundance,239998,1,13468310,2012-10-12T15:18:46Z
185483732,Sundance,239998,1,13468310,2012-10-12T15:18:46Z
185483735,Sundance,239998,1,13468310,2012-10-12T15:18:47Z
185483744,Sundance,239998,1,13468310,2012-10-12T15:18:49Z
185483745,Sundance,239998,1,13468310,2012-10-12T15:18:49Z
185483753,Sundance,239998,1,13468310,2012-10-12T15:18:49Z
185483754,sctrojan79,2601744,2,41023319,2016-07-25T21:25:33Z
185483756,sctrojan79,2601744,2,36990603,2016-02-04T06:19:50Z
185483760,Sundance,239998,1,13468310,2012-10-12T15:18:50Z
185483761,Sundance,239998,1,13468310,2012-10-12T15:18:50Z
185485113,Sundance,239998,1,13468446,2012-10-12T15:30:02Z
185485114,Glassman,447903,2,16838947,2013-07-05T17:10:18Z
185485115,sctrojan79,2601744,2,30784693,2015-05-04T16:59:35Z
185485117,sctrojan79,2601744,5,36766652,2016-01-23T22:01:40Z
185485118,nvk,131996,4,46969092,2017-03-18T23:44:40Z
185485119,Sundance,239998,1,13468446,2012-10-12T15:30:04Z
185485120,Sundance,239998,1,13468446,2012-10-12T15:30:04Z
185485121,Sundance,239998,1,13468446,2012-10-12T15:30:04Z
185485122,Natfoot,567792,2,27282124,2014-12-06T03:22:58Z
185485125,Sundance,239998,1,13468446,2012-10-12T15:30:04Z
185485126,Natfoot,567792,2,27282124,2014-12-06T03:22:59Z
185485127,sctrojan79,2601744,6,36766652,2016-01-23T22:01:22Z
185485130,sctrojan79,2601744,2,30784693,2015-05-04T16:59:35Z
185485131,Sundance,239998,1,13468446,2012-10-12T15:30:05Z
185485132,sctrojan79,2601744,5,36766652,2016-01-23T22:00:19Z
185485133,Sundance,239998,1,13468446,2012-10-12T15:30:06Z
