id,lat,lon,user,uid,version,changeset,timestamp
4386608895,47.6186511,-122.3207743,maxburton,3920109,1,41945510,2016-09-06T04:21:04Z
4391063333,47.6116193,-122.3218067,lukobe,137875,1,41991139,2016-09-07T22:44:45Z
4391063334,47.6117839,-122.3214077,lukobe,137875,1,41991139,2016-09-07T22:44:45Z
4391063335,47.6112375,-122.3209116,lukobe,137875,1,41991139,2016-09-07T22:44:45Z
4400510992,47.6139553,-122.3247475,seattlefyi,692614,2,42152879,2016-09-14T15:37:43Z
4400510993,47.6142596,-122.3249340,sctrojan79,2601744,2,47794197,2017-04-14T19:56:14Z
4400512391,47.6142623,-122.3251322,seattlefyi,692614,2,42152879,2016-09-14T15:37:43Z
4400512392,47.6142665,-122.3250243,seattlefyi,692614,2,42152879,2016-09-14T15:37:43Z
4400539890,47.6142032,-122.3212476,seattlefyi,692614,1,42138830,2016-09-14T01:28:25Z
4400539989,47.6139507,-122.3250783,seattlefyi,692614,2,42152879,2016-09-14T15:37:43Z
4400540089,47.6139519,-122.3248653,seattlefyi,692614,1,42138830,2016-09-14T01:28:09Z
4400540090,47.6139477,-122.3246513,seattlefyi,692614,2,42152879,2016-09-14T15:37:43Z
4400540289,47.6139735,-122.3237507,seattlefyi,692614,2,42152879,2016-09-14T15:37:43Z
4410978527,47.6154720,-122.3199467,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:41Z
4410978528,47.6154727,-122.3197995,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:41Z
4410978529,47.6156593,-122.3206626,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:41Z
4410978530,47.6156720,-122.3202173,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:41Z
4410978531,47.6156825,-122.3206488,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:41Z
4410978532,47.6156825,-122.3206536,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:41Z
4410978533,47.6156852,-122.3199488,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:41Z
4410978534,47.6156858,-122.3198016,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:41Z
4410978535,47.6157112,-122.3202180,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:41Z
4410978536,47.6157426,-122.3199912,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:41Z
4410978537,47.6157437,-122.3197462,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:41Z
4410978538,47.6157629,-122.3206503,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:41Z
4410978539,47.6157629,-122.3206551,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:41Z
4410978540,47.6158022,-122.3199499,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:41Z
4410978541,47.6158029,-122.3198027,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:41Z
4410978542,47.6158215,-122.3202523,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:41Z
